IdClaveEdo,IdClaveMun,Descripcion
"20","339","MAGDALENA TEQUISISTLAN"
"20","340","MATIAS ROMERO"
"20","341","OAXACA DE JUAREZ"
"20","342","SALINA CRUZ"
"20","343","SAN AGUSTIN DE LAS JUNTAS"
"20","344","SAN AGUSTIN ETLA"
"20","345","SAN JUAN ATEPEC"
"20","346","SAN JUAN BAUTISTA CUICATLAN"
"20","347","SAN JUAN BAUTISTA TUXTEPEC"
"20","348","SAN JUAN DEL ESTADO"
"20","349","SAN LUCAS OJITLAN"
"20","350","NUEVO SOYALTEPEC OAX"
"20","351","SAN PABLO ETLA"
"20","352","SANTA CATARINA IXTEPEJI"
"20","353","SANTA CRUZ AMILPAS"
"20","354","STA MA TECOMAVACA, OAX."
"20","355","SANTO DOMINGO INGENIO"
"20","356","SANTO DOMINGO TEHUANTEPEC"
"20","357","TEOTITLAN DE FLORES MAGON OAX"
"21","358","AJALPAN"
"21","359","ALTEPEXI"
"21","360","AMOZOC"
"21","361","ATLIXCO"
"21","362","ATZALA"
"21","363","COXCATLAN"
"21","364","CUAUTLANCINGO"
"21","365","CHIAUTLA"
"21","366","CHIETLA"
"21","367","EPATLAN"
"21","368","HUAUCHINANGO"
"21","369","IZUCAR DE MATAMOROS"
"21","370","JUAN GALINDO"
"21","371","NOPALUCAN"
"21","372","PUEBLA"
"21","373","RAFAEL LARA GRAJALES"
"28","463","NUEVO LAREDO TAM"
"28","464","NUEVO MORELOS TAM"
"28","465","OCAMPO TAM"
"28","466","CD REYNOSA TAM"
"28","467","RIO BRAVO TAM"
"28","468","TAMPICO TAM"
"28","469","VALLE HERMOSO TAM"
"28","470","CD VICTORIA TAM"
"28","471","XICOTENCATL TAM"
"29","472","AMAXAC DE GUERRERO"
"29","473","APETATITLAN DE ANTONIO CARVAJAL"
"29","474","APIZACO"
"29","475","CALPULALPAN"
"29","476","CHIAUTEMPAN"
"29","477","STA CRUZ TLAXCALA"
"29","478","TLAXCALA"
"29","479","PAPALOTLA DE XICOHTENCATL"
"29","480","XICOTZINGO"
"29","481","ZACATELCO"
"30","482","ACATLAN"
"30","483","ACAYUCAN"
"30","484","ACTOPAN"
"30","485","ACULA"
"30","486","ALVARADO"
"30","487","AMATITLAN"
"30","488","AMATLAN DE LOS REYES"
"30","489","ANGEL R CABADA"
"30","490","APAZAPAN"
"30","491","ATOYAC"
"30","492","ATZACAN"
"30","493","ATZALAN"
"30","494","BANDERILLA"
"30","495","BOCA DEL RIO"
"30","496","CAMERINO Z MENDOZA"
"30","497","CARRILLO PUERTO"
"30","498","COATEPEC"
"30","499","COATZACOALCOS"
"30","500","COETZALA"
"30","501","CORDOBA"
"30","502","COSAMALOAPAN"
"30","503","COSAUTLAN DE CARVAJAL"
"30","504","COSCOMATEPEC"
"30","505","COSOLEACAQUE"
"30","506","COTAXTLA"
"30","507","CUICHAPA"
"30","508","CUITLAHUAC"
"30","509","CHACALTIANGUIS"
"30","510","CHOCAMAN"
"30","511","EMILIANO ZAPATA"
"30","512","FORTIN"
"30","513","HUATUSCO"
"30","514","HUEYAPAN DE OCAMPO"
"30","515","IGNACIO DE LA LLAVE"
"30","516","IXHUATLAN DEL CAFE"
"30","517","IXMATLAHUACAN"
"30","518","IXTACZOQUITLAN"
"30","519","XALAPA"
"30","520","JALCOMULCO"
"30","521","JALTIPAN"
"30","522","XICO"
"30","523","JILOTEPEC"
"30","524","LA ANTIGUA"
"30","525","LERDO DE TEJADA"
